
TRACE - 2014-12-05 11:34:51.683; [qtp1161035867-14 - /solr/update] org.apache.solr.handler.loader.XMLLoader.load(XMLLoader.java:167); body
DEBUG - 2014-12-05 11:34:51.684; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.exc.WstxParsingException from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.684; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.exc.WstxUnexpectedCharException from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.685; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:409); loaded class java.io.CharConversionException
DEBUG - 2014-12-05 11:34:51.685; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class java.io.CharConversionException from null
DEBUG - 2014-12-05 11:34:51.690; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.exc.WstxEOFException from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.691; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.io.BaseReader from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.691; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.io.UTF8Reader from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.692; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.io.ISOLatinReader from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.692; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.io.AsciiReader from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.693; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.io.UTF32Reader from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.693; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.io.MergedStream from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.694; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:409); loaded interface javax.xml.stream.Location
DEBUG - 2014-12-05 11:34:51.694; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface javax.xml.stream.Location from null
DEBUG - 2014-12-05 11:34:51.695; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.io.InputSourceFactory from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.695; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.io.WstxInputSource from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.696; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.io.BaseInputSource from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.696; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.io.CharArraySource from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.697; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.io.ReaderSource from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.697; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.io.BranchingReaderSource from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.700; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface com.ctc.wstx.sr.StreamReaderImpl from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.700; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.codehaus.stax2.DTDInfo from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.701; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.codehaus.stax2.LocationInfo from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.702; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface com.ctc.wstx.sr.InputProblemReporter from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.702; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface com.ctc.wstx.cfg.ParsingErrorMsgs from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.703; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.io.WstxInputData from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.704; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.sr.StreamScanner from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.704; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.sr.BasicStreamReader from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.704; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.sr.ValidatingStreamReader from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.706; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.codehaus.stax2.validation.XMLValidationException from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.706; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.exc.WstxValidationException from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.707; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.codehaus.stax2.XMLStreamLocation2 from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.708; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.codehaus.stax2.AttributeInfo from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.709; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:409); loaded interface javax.xml.namespace.NamespaceContext
DEBUG - 2014-12-05 11:34:51.709; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface javax.xml.namespace.NamespaceContext from null
DEBUG - 2014-12-05 11:34:51.709; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.codehaus.stax2.validation.ValidationContext from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.710; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.sr.InputElementStack from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.710; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.sr.NsInputElementStack from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.711; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.sr.NonNsInputElementStack from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.716; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.codehaus.stax2.validation.XMLValidationSchema from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.716; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.codehaus.stax2.validation.DTDValidationSchema from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.716; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface com.ctc.wstx.sr.NsDefaultProvider from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.718; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.codehaus.stax2.validation.XMLValidator from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.718; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.codehaus.stax2.validation.ValidatorPair from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.719; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.sr.AttributeCollector from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.720; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.sr.NsAttributeCollector from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.720; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.util.BaseNsContext from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.720; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.util.EmptyNamespaceContext from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.721; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.sr.CompactNsContext from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.722; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.util.EmptyIterator from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.722; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.util.InternCache from WebAppClassLoader=323656156@134a99dc
