
DEBUG - 2014-12-05 11:40:03.229; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.apache.lucene.search.FieldCache from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 11:40:03.230; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.apache.lucene.search.FieldCache$ByteParser from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 11:40:03.230; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.apache.lucene.search.FieldCache$ShortParser from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 11:40:03.231; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.apache.lucene.search.FieldCache$IntParser from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 11:40:03.231; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.apache.lucene.search.FieldCache$FloatParser from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 11:40:03.231; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.apache.lucene.search.FieldCache$LongParser from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 11:40:03.232; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.apache.lucene.search.FieldCache$DoubleParser from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 11:40:03.233; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldCacheImpl from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 11:40:03.233; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.apache.lucene.index.SegmentReader$CoreClosedListener from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 11:40:03.234; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.apache.lucene.index.IndexReader$ReaderClosedListener from WebAppClassLoader=1155033168@44d86850
