
DEBUG - 2014-12-05 09:48:45.204; [qtp14214026-14] org.eclipse.jetty.http.HttpParser.parseNext(HttpParser.java:281); filled 524/524
DEBUG - 2014-12-05 09:48:45.205; [qtp14214026-14 - /solr/collection1/select] org.eclipse.jetty.server.Server.handle(Server.java:363); REQUEST /solr/collection1/select on BlockingHttpConnection@3867a98e,g=HttpGenerator{s=0,h=-1,b=-1,c=-1},p=HttpParser{s=2,l=10,c=250},r=1
DEBUG - 2014-12-05 09:48:45.205; [qtp14214026-14 - /solr/collection1/select] org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:931); scope null||/solr/collection1/select @ o.e.j.w.WebAppContext{/solr,file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8986/example/solr-webapp/webapp/},/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8986/example/webapps/solr.war
DEBUG - 2014-12-05 09:48:45.205; [qtp14214026-14 - /solr/collection1/select] org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1003); context=/solr||/collection1/select @ o.e.j.w.WebAppContext{/solr,file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8986/example/solr-webapp/webapp/},/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8986/example/webapps/solr.war
DEBUG - 2014-12-05 09:48:45.206; [qtp14214026-14 - /solr/collection1/select] org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:187); sessionManager=org.eclipse.jetty.server.session.HashSessionManager@784eb2c
DEBUG - 2014-12-05 09:48:45.206; [qtp14214026-14 - /solr/collection1/select] org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:188); session=null
DEBUG - 2014-12-05 09:48:45.206; [qtp14214026-14 - /solr/collection1/select] org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:370); servlet /solr|/collection1/select|null -> default
DEBUG - 2014-12-05 09:48:45.206; [qtp14214026-14 - /solr/collection1/select] org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:432); chain=SolrRequestFilter->default
DEBUG - 2014-12-05 09:48:45.206; [qtp14214026-14 - /solr/collection1/select] org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1416); call filter SolrRequestFilter
DEBUG - 2014-12-05 09:48:45.207; [qtp14214026-14 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.solr.search.QueryParsing$StrParser from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 09:48:45.209; [qtp14214026-14 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.DocIdSetIterator$1 from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 09:48:45.211; [qtp14214026-14 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.util.InPlaceMergeSorter from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 09:48:45.212; [qtp14214026-14 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.solr.handler.component.QueryComponent$1 from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 09:48:45.213; [qtp14214026-14 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldComparator$RelevanceComparator from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 09:48:45.244; [qtp14214026-14 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldComparator$DocComparator from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 09:48:45.247; [qtp14214026-14 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldComparator$NumericComparator from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 09:48:45.247; [qtp14214026-14 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldComparator$IntComparator from WebAppClassLoader=1155033168@44d86850
DEBUG - 2014-12-05 09:48:45.248; [qtp14214026-14 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldComparator$FloatComparator from WebAppClassLoader=1155033168@44d86850
