
DEBUG - 2014-12-04 17:12:46.445; [updateExecutor-1-thread-3] org.apache.solr.client.solrj.impl.ConcurrentUpdateSolrServer$Runner.run(ConcurrentUpdateSolrServer.java:153); starting runner: org.apache.solr.client.solrj.impl.ConcurrentUpdateSolrServer$Runner@43e611b1
DEBUG - 2014-12-04 17:12:46.446; [qtp524450165-15 - /solr/update?commit=true] org.apache.solr.update.processor.LogUpdateProcessor.processCommit(LogUpdateProcessorFactory.java:156); PRE_UPDATE commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false} {{params(commit=true),defaults(wt=xml)}}
DEBUG - 2014-12-04 17:12:46.446; [updateExecutor-1-thread-3] org.apache.http.impl.conn.PoolingClientConnectionManager.requestConnection(PoolingClientConnectionManager.java:182); Connection request: [route: {}->http://192.168.196.141:8983][total kept alive: 1; route allocated: 1 of 100; total allocated: 2 of 10000]
DEBUG - 2014-12-04 17:12:46.446; [updateExecutor-1-thread-3] org.apache.http.impl.conn.PoolingClientConnectionManager.leaseConnection(PoolingClientConnectionManager.java:214); Connection leased: [id: 1][route: {}->http://192.168.196.141:8983][total kept alive: 0; route allocated: 1 of 100; total allocated: 2 of 10000]
DEBUG - 2014-12-04 17:12:46.446; [updateExecutor-1-thread-3] org.apache.http.impl.client.DefaultRequestDirector.execute(DefaultRequestDirector.java:431); Stale connection check
DEBUG - 2014-12-04 17:12:46.447; [updateExecutor-1-thread-2] org.apache.http.client.protocol.RequestAddCookies.process(RequestAddCookies.java:122); CookieSpec selected: best-match
DEBUG - 2014-12-04 17:12:46.447; [updateExecutor-1-thread-3] org.apache.http.impl.client.DefaultRequestDirector.execute(DefaultRequestDirector.java:433); Stale connection detected
DEBUG - 2014-12-04 17:12:46.447; [updateExecutor-1-thread-2] org.apache.http.client.protocol.RequestAuthCache.process(RequestAuthCache.java:75); Auth cache not set in the context
DEBUG - 2014-12-04 17:12:46.447; [updateExecutor-1-thread-2] org.apache.http.client.protocol.RequestTargetAuthentication.process(RequestTargetAuthentication.java:78); Target auth state: UNCHALLENGED
DEBUG - 2014-12-04 17:12:46.447; [updateExecutor-1-thread-2] org.apache.http.client.protocol.RequestProxyAuthentication.process(RequestProxyAuthentication.java:87); Proxy auth state: UNCHALLENGED
DEBUG - 2014-12-04 17:12:46.447; [updateExecutor-1-thread-3] org.apache.http.impl.conn.DefaultClientConnection.close(DefaultClientConnection.java:176); Connection 0.0.0.0:49610<->192.168.196.141:8983 closed
