
INFO  - 2015-02-12 11:40:21.815; [qtp524450165-15 - /solr/admin/cores] org.apache.solr.cloud.ZkController.waitForShardId(ZkController.java:1303); waiting to find shard id in clusterstate for collection2_shard1_replica1
INFO  - 2015-02-12 11:40:21.815; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.cloud.ZkController.waitForShardId(ZkController.java:1303); waiting to find shard id in clusterstate for collection2_shard2_replica1
INFO  - 2015-02-12 11:40:21.824; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.core.CoreContainer.create(CoreContainer.java:589); Creating SolrCore 'collection2_shard2_replica1' using instanceDir: solr/collection2_shard2_replica1
INFO  - 2015-02-12 11:40:21.824; [qtp524450165-15 - /solr/admin/cores] org.apache.solr.core.CoreContainer.create(CoreContainer.java:589); Creating SolrCore 'collection2_shard1_replica1' using instanceDir: solr/collection2_shard1_replica1
INFO  - 2015-02-12 11:40:21.824; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.cloud.ZkController.createCollectionZkNode(ZkController.java:1127); Check for collection zkNode:collection2
INFO  - 2015-02-12 11:40:21.824; [qtp524450165-15 - /solr/admin/cores] org.apache.solr.cloud.ZkController.createCollectionZkNode(ZkController.java:1127); Check for collection zkNode:collection2
INFO  - 2015-02-12 11:40:21.826; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.cloud.ZkController.createCollectionZkNode(ZkController.java:1192); Collection zkNode exists
INFO  - 2015-02-12 11:40:21.826; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.common.cloud.ZkStateReader.readConfigName(ZkStateReader.java:140); Load collection config from:/collections/collection2
INFO  - 2015-02-12 11:40:21.826; [qtp524450165-15 - /solr/admin/cores] org.apache.solr.cloud.ZkController.createCollectionZkNode(ZkController.java:1192); Collection zkNode exists
INFO  - 2015-02-12 11:40:21.826; [qtp524450165-15 - /solr/admin/cores] org.apache.solr.common.cloud.ZkStateReader.readConfigName(ZkStateReader.java:140); Load collection config from:/collections/collection2
INFO  - 2015-02-12 11:40:21.829; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.common.cloud.ZkStateReader.readConfigName(ZkStateReader.java:155); path=/collections/collection2 configName=collection1 specified config exists in ZooKeeper
INFO  - 2015-02-12 11:40:21.829; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.core.SolrResourceLoader.<init>(SolrResourceLoader.java:116); new SolrResourceLoader for directory: 'solr/collection2_shard2_replica1/'
