INFO  - 2014-07-23 11:01:34.262; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
DEBUG - 2014-07-23 11:01:34.328; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.solr.update.processor.UpdateRequestProcessorFactory from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.329; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface org.apache.lucene.analysis.util.ResourceLoaderAware from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.331; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.analysis.util.AbstractAnalysisFactory from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.332; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.analysis.util.CharFilterFactory from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.333; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.analysis.util.TokenFilterFactory from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.334; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.analysis.util.TokenizerFactory from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.335; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.solr.search.QParserPlugin from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.337; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.solr.schema.FieldProperties from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.337; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.solr.schema.FieldType from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.338; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class javax.naming.InitialContext
DEBUG - 2014-07-23 11:01:34.339; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class javax.naming.InitialContext from null
INFO  - 2014-07-23 11:01:34.349; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
DEBUG - 2014-07-23 11:01:34.349; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.System
DEBUG - 2014-07-23 11:01:34.351; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.System from null
INFO  - 2014-07-23 11:01:34.353; org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: /vagrant/projects/work/search-cloud/cloud/7804/server/bin/../../idx
DEBUG - 2014-07-23 11:01:34.356; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.File
DEBUG - 2014-07-23 11:01:34.357; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.File from null
DEBUG - 2014-07-23 11:01:34.358; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.ArrayList
DEBUG - 2014-07-23 11:01:34.359; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.ArrayList from null
DEBUG - 2014-07-23 11:01:34.361; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.Collections
DEBUG - 2014-07-23 11:01:34.364; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.Collections from null
INFO  - 2014-07-23 11:01:34.365; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/vagrant/projects/work/search-cloud/cloud/7804/server/bin/../../idx/'
DEBUG - 2014-07-23 11:01:34.366; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.Thread
DEBUG - 2014-07-23 11:01:34.366; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.Thread from null
DEBUG - 2014-07-23 11:01:34.369; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.net.URL
DEBUG - 2014-07-23 11:01:34.369; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.net.URL from null
DEBUG - 2014-07-23 11:01:34.371; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.solr.util.FileUtils from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.372; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.InterruptedException
DEBUG - 2014-07-23 11:01:34.372; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.InterruptedException from null
DEBUG - 2014-07-23 11:01:34.373; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.FileNotFoundException
DEBUG - 2014-07-23 11:01:34.373; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.FileNotFoundException from null
DEBUG - 2014-07-23 11:01:34.374; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface java.nio.channels.WritableByteChannel
DEBUG - 2014-07-23 11:01:34.375; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface java.nio.channels.WritableByteChannel from null
DEBUG - 2014-07-23 11:01:34.386; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface org.apache.lucene.util.NamedSPILoader$NamedSPI from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.387; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.PostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.388; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.util.NamedSPILoader from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.389; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.ServiceConfigurationError
DEBUG - 2014-07-23 11:01:34.389; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.ServiceConfigurationError from null
DEBUG - 2014-07-23 11:01:34.391; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.util.SPIClassIterator from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.391; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.NoSuchElementException
DEBUG - 2014-07-23 11:01:34.391; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.NoSuchElementException from null
DEBUG - 2014-07-23 11:01:34.392; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.AssertionError
DEBUG - 2014-07-23 11:01:34.392; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.AssertionError from null
DEBUG - 2014-07-23 11:01:34.393; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.UnsupportedOperationException
DEBUG - 2014-07-23 11:01:34.393; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.UnsupportedOperationException from null
DEBUG - 2014-07-23 11:01:34.394; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.Reader
DEBUG - 2014-07-23 11:01:34.394; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.Reader from null
DEBUG - 2014-07-23 11:01:34.395; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.InputStreamReader
DEBUG - 2014-07-23 11:01:34.395; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.InputStreamReader from null
DEBUG - 2014-07-23 11:01:34.398; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface java.util.Enumeration
DEBUG - 2014-07-23 11:01:34.398; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface java.util.Enumeration from null
DEBUG - 2014-07-23 11:01:34.406; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.BufferedReader
DEBUG - 2014-07-23 11:01:34.406; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.BufferedReader from null
DEBUG - 2014-07-23 11:01:34.409; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.util.IOUtils from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.425; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.pulsing.PulsingPostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.425; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.pulsing.Pulsing41PostingsFormat from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.427; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.PostingsConsumer from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.427; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.PostingsWriterBase from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.429; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.pulsing.PulsingPostingsWriter from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.431; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.FieldsConsumer from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.432; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.BlockTreeTermsWriter from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.433; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.PostingsReaderBase from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.434; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.pulsing.PulsingPostingsReader from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.436; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.index.Fields from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.436; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.FieldsProducer from WebAppClassLoader=1598675078@5f49d886
