TRACE - 2014-07-23 13:12:22.046; org.apache.solr.core.Config; null:solr/solrcloud/int[@name='zkClientTimeout']=[int: null]
DEBUG - 2014-07-23 13:12:22.046; org.apache.solr.core.Config; null solr/solrcloud/int[@name='zkClientTimeout']=${zkClientTimeout:30000}
DEBUG - 2014-07-23 13:12:22.052; org.apache.solr.core.Config; null missing optional solr/solrcloud/str[@name='zkHost']
DEBUG - 2014-07-23 13:12:22.064; org.apache.solr.core.Config; null missing optional solr/logging/str[@name='class']
DEBUG - 2014-07-23 13:12:22.076; org.apache.solr.core.Config; null missing optional solr/logging/str[@name='enabled']
DEBUG - 2014-07-23 13:12:22.082; org.apache.solr.core.Config; null missing optional solr/logging/watcher/int[@name='size']
DEBUG - 2014-07-23 13:12:22.088; org.apache.solr.core.Config; null missing optional solr/logging/watcher/int[@name='threshold']
INFO  - 2014-07-23 13:12:22.093; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /vagrant/projects/work/search-cloud/cloud/7804/server/bin/../../idx
INFO  - 2014-07-23 13:12:22.145; org.apache.solr.core.CoreContainer; New CoreContainer 369134045
INFO  - 2014-07-23 13:12:22.146; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=/vagrant/projects/work/search-cloud/cloud/7804/server/bin/../../idx/]
TRACE - 2014-07-23 13:12:22.153; org.apache.solr.core.Config; null:solr/shardHandlerFactory=[shardHandlerFactory: null]
TRACE - 2014-07-23 13:12:22.202; org.apache.solr.core.SolrResourceLoader; Trying class name org.apache.solr.HttpShardHandlerFactory
TRACE - 2014-07-23 13:12:22.204; org.apache.solr.core.SolrResourceLoader; Trying class name org.apache.solr.analysis.HttpShardHandlerFactory
TRACE - 2014-07-23 13:12:22.207; org.apache.solr.core.SolrResourceLoader; Trying class name org.apache.solr.schema.HttpShardHandlerFactory
TRACE - 2014-07-23 13:12:22.216; org.apache.solr.core.SolrResourceLoader; Trying class name org.apache.solr.handler.HttpShardHandlerFactory
TRACE - 2014-07-23 13:12:22.224; org.apache.solr.core.SolrResourceLoader; Trying class name org.apache.solr.search.HttpShardHandlerFactory
TRACE - 2014-07-23 13:12:22.228; org.apache.solr.core.SolrResourceLoader; Trying class name org.apache.solr.update.HttpShardHandlerFactory
TRACE - 2014-07-23 13:12:22.230; org.apache.solr.core.SolrResourceLoader; Trying class name org.apache.solr.core.HttpShardHandlerFactory
TRACE - 2014-07-23 13:12:22.231; org.apache.solr.core.SolrResourceLoader; Trying class name org.apache.solr.response.HttpShardHandlerFactory
TRACE - 2014-07-23 13:12:22.233; org.apache.solr.core.SolrResourceLoader; Trying class name org.apache.solr.request.HttpShardHandlerFactory
TRACE - 2014-07-23 13:12:22.236; org.apache.solr.core.SolrResourceLoader; Trying class name org.apache.solr.update.processor.HttpShardHandlerFactory
TRACE - 2014-07-23 13:12:22.238; org.apache.solr.core.SolrResourceLoader; Trying class name org.apache.solr.util.HttpShardHandlerFactory
TRACE - 2014-07-23 13:12:22.241; org.apache.solr.core.SolrResourceLoader; Trying class name org.apache.solr.spelling.HttpShardHandlerFactory
TRACE - 2014-07-23 13:12:22.243; org.apache.solr.core.SolrResourceLoader; Trying class name org.apache.solr.handler.component.HttpShardHandlerFactory
INFO  - 2014-07-23 13:12:22.277; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-07-23 13:12:22.277; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2014-07-23 13:12:22.293; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-07-23 13:12:22.294; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-07-23 13:12:22.294; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-07-23 13:12:22.295; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-07-23 13:12:22.295; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-07-23 13:12:22.295; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-07-23 13:12:22.303; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
DEBUG - 2014-07-23 13:12:22.307; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
DEBUG - 2014-07-23 13:12:22.561; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:socketTimeout=0&connTimeout=0&retry=false
INFO  - 2014-07-23 13:12:22.572; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-07-23 13:12:22.576; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-07-23 13:12:22.580; org.apache.solr.core.CoreContainer; Host Name:
INFO  - 2014-07-23 13:12:22.581; org.apache.solr.core.ZkContainer; Zookeeper client=localhost:10161
INFO  - 2014-07-23 13:12:22.764; org.apache.solr.common.cloud.ConnectionManager; Waiting for client to connect to ZooKeeper
INFO  - 2014-07-23 13:12:22.837; org.apache.solr.common.cloud.ConnectionManager; Watcher org.apache.solr.common.cloud.ConnectionManager@1710278e name:ZooKeeperConnection Watcher:localhost:10161 got event WatchedEvent state:SyncConnected type:None path:null path:null type:None
INFO  - 2014-07-23 13:12:22.844; org.apache.solr.common.cloud.ConnectionManager; Client is connected to ZooKeeper
INFO  - 2014-07-23 13:12:22.960; org.apache.solr.common.cloud.ZkStateReader; Updating cluster state from ZooKeeper...
INFO  - 2014-07-23 13:12:24.048; org.apache.solr.cloud.ZkController; Register node as live in ZooKeeper:/live_nodes/127.0.1.1:7804_solr
INFO  - 2014-07-23 13:12:24.053; org.apache.solr.common.cloud.SolrZkClient; makePath: /live_nodes/127.0.1.1:7804_solr
INFO  - 2014-07-23 13:12:24.071; org.apache.solr.common.cloud.ZkStateReader$3; Updating live nodes... (1)
INFO  - 2014-07-23 13:12:24.085; org.apache.solr.cloud.OverseerElectionContext; I am going to be the leader 127.0.1.1:7804_solr
INFO  - 2014-07-23 13:12:24.090; org.apache.solr.common.cloud.SolrZkClient; makePath: /overseer_elect/leader
INFO  - 2014-07-23 13:12:24.097; org.apache.solr.cloud.Overseer; Overseer (id=92143311968337953-127.0.1.1:7804_solr-n_0000000012) starting
INFO  - 2014-07-23 13:12:24.179; org.apache.solr.cloud.OverseerCollectionProcessor; Process current queue of collection creations
INFO  - 2014-07-23 13:12:24.189; org.apache.solr.cloud.OverseerCollectionProcessor; prioritizing overseer nodes
INFO  - 2014-07-23 13:12:24.199; org.apache.solr.cloud.Overseer$ClusterStateUpdater; Starting to work on the main queue
INFO  - 2014-07-23 13:12:24.337; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /vagrant/projects/work/search-cloud/cloud/7804/server/bin/../../idx
