INFO  - 2014-07-23 13:12:20.346; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
DEBUG - 2014-07-23 13:12:20.418; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.solr.update.processor.UpdateRequestProcessorFactory from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.420; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface org.apache.lucene.analysis.util.ResourceLoaderAware from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.422; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.analysis.util.AbstractAnalysisFactory from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.422; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.analysis.util.CharFilterFactory from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.423; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.analysis.util.TokenFilterFactory from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.425; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.analysis.util.TokenizerFactory from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.426; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.solr.search.QParserPlugin from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.429; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.solr.schema.FieldProperties from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.430; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.solr.schema.FieldType from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.431; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class javax.naming.InitialContext
DEBUG - 2014-07-23 13:12:20.431; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class javax.naming.InitialContext from null
INFO  - 2014-07-23 13:12:20.437; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
DEBUG - 2014-07-23 13:12:20.438; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.System
DEBUG - 2014-07-23 13:12:20.438; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.System from null
INFO  - 2014-07-23 13:12:20.439; org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: /vagrant/projects/work/search-cloud/cloud/7804/server/bin/../../idx
DEBUG - 2014-07-23 13:12:20.440; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.File
DEBUG - 2014-07-23 13:12:20.440; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.File from null
DEBUG - 2014-07-23 13:12:20.442; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.ArrayList
DEBUG - 2014-07-23 13:12:20.443; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.ArrayList from null
DEBUG - 2014-07-23 13:12:20.445; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.Collections
DEBUG - 2014-07-23 13:12:20.447; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.Collections from null
INFO  - 2014-07-23 13:12:20.449; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/vagrant/projects/work/search-cloud/cloud/7804/server/bin/../../idx/'
DEBUG - 2014-07-23 13:12:20.451; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.Thread
DEBUG - 2014-07-23 13:12:20.452; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.Thread from null
DEBUG - 2014-07-23 13:12:20.458; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.net.URL
DEBUG - 2014-07-23 13:12:20.458; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.net.URL from null
DEBUG - 2014-07-23 13:12:20.460; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.solr.util.FileUtils from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.461; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.InterruptedException
DEBUG - 2014-07-23 13:12:20.461; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.InterruptedException from null
DEBUG - 2014-07-23 13:12:20.462; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.FileNotFoundException
DEBUG - 2014-07-23 13:12:20.462; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.FileNotFoundException from null
DEBUG - 2014-07-23 13:12:20.464; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface java.nio.channels.WritableByteChannel
DEBUG - 2014-07-23 13:12:20.464; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface java.nio.channels.WritableByteChannel from null
DEBUG - 2014-07-23 13:12:20.487; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface org.apache.lucene.util.NamedSPILoader$NamedSPI from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.488; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.codecs.PostingsFormat from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.491; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.util.NamedSPILoader from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.492; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.ServiceConfigurationError
DEBUG - 2014-07-23 13:12:20.492; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.ServiceConfigurationError from null
DEBUG - 2014-07-23 13:12:20.494; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.lucene.util.SPIClassIterator from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.494; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.NoSuchElementException
DEBUG - 2014-07-23 13:12:20.495; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.NoSuchElementException from null
DEBUG - 2014-07-23 13:12:20.495; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.AssertionError
DEBUG - 2014-07-23 13:12:20.496; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.AssertionError from null
DEBUG - 2014-07-23 13:12:20.496; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.UnsupportedOperationException
DEBUG - 2014-07-23 13:12:20.497; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.UnsupportedOperationException from null
DEBUG - 2014-07-23 13:12:20.497; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.Reader
DEBUG - 2014-07-23 13:12:20.498; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.Reader from null
DEBUG - 2014-07-23 13:12:20.498; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.InputStreamReader
DEBUG - 2014-07-23 13:12:20.498; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.InputStreamReader from null
